C,epsilon,r2,error_ma,error_ms,error_rms,error_mp,error_max
-,-,-,-,-,-,-,-
15000,0.45,0.9970417639178005,1.3403727162566434,5.632327868299526,2.3732525926035613,3.9687724772377178,19.5662583812827
15000,0.1,0.9986277423248203,0.944920434068344,2.324864420564006,1.5247506093010772,4.905643468005256,7.379337401342331
15000,0.2,0.9978536312934347,1.084265407833378,3.5745310953717153,1.8906430375329224,9.740229149184943,14.103121167020513
15000,0.1,0.9969769521325936,1.1945178384490691,4.741636140595974,2.177529825420532,23.570455841306003,15.821067780682029
4000,0.1,0.9984856707565792,1.072817694261888,2.478311294684846,1.5742653190249876,3.0193213597536284,6.252232546491015
15000,0.2,0.9967812187757877,1.1315055886323724,6.346327529864363,2.5191918406235683,7.589389441530825,24.032712803296917
9000,0.1,0.9894775510716161,1.3276490592704655,17.24514294782652,4.152727169924184,3.407633672215978,41.95885566862519
6000,0.1,0.9970634420231808,1.1177129233547216,5.3477463854971745,2.3125194886740252,15.818997122724479,20.430897121489302
15000,0.1,0.9983995303112927,0.9328866301139376,2.219261452172347,1.4897185815355687,3.0909522724672334,8.39053856073886
15000,0.1,0.998223857165682,1.0502586063744817,2.804237762563922,1.6745858480722695,6.993666369759537,8.515987688023955
-,-,-,-,-,-,-,-
500,0.5,0.9347823042351254,2.075174308335787,8.575093735354145,2.928326097850809,2.252012637780429,14.532836467812999
500,0.5,0.963573151902415,1.6329155122265926,4.549790029071057,2.133023682257433,1.7519964601495668,7.768629092190224
500,0.5,0.9241085257197341,2.0663849531590635,8.987615824434872,2.9979352602140814,2.221502700153528,16.70504502781273
500,0.3,0.9487541483210704,2.1519797520057997,7.600632746074517,2.7569245085918688,2.319104195825795,9.04540055529857
500,0.5,0.9545879621148528,1.9729222601525502,6.810301369816508,2.609655412083463,2.0847206954370754,8.402016758223098
500,0.5,0.948727804262745,1.8468754563104328,6.336303173673269,2.5172014567120504,2.005574662836959,11.191854038208334
500,0.5,0.9514983879851002,1.9861918231458167,6.804553994219066,2.6085540044666633,2.127650145996166,10.234133682813521
1000,0.45,0.9332011613931397,2.2152028492821025,8.747017739047443,2.9575357544833576,2.4020462657162085,10.150944599112009
500,0.45,0.9377121980092185,2.0463565562239188,7.049413379423934,2.6550731401270165,2.1725622539819813,8.700341040848585
1000,0.5,0.9282468831517754,2.0684202928785353,7.5324563779580185,2.7445320872524004,2.2107210965693023,10.348754807289183
-,-,-,-,-,-,-,-
100,0.3,0.9760759901740709,0.8444884037498799,1.7346909904240932,1.317076683577723,2.433445608889921,7.224408377180271
500,0.3,0.9812981468031281,0.7589874055104419,1.180066928468527,1.086308855007878,2.3296470047044653,4.592577815351262
100,0.25,0.9800764889727052,0.787744746286524,1.4391180036520361,1.1996324452314702,2.195474773363641,6.057508198865506
500,0.3,0.9832022393683207,0.8625268919643158,1.236568855619409,1.112011176031702,2.5612466328719234,3.1880733383536324
100,0.45,0.9823733716838681,0.8299590922728747,1.4060490741457081,1.185769401758077,2.353789189100487,5.382211470535751
100,0.5,0.9859296983799736,0.7171337632638869,1.0002601406855123,1.0001300618847093,2.1437649259109155,3.5671910436844243
100,0.45,0.9854607971370516,0.790915207678461,1.1077787721892534,1.052510699322935,2.282778755572391,3.4109195209066883
100,0.2,0.9711829308831256,0.8602616402218318,1.900250236565189,1.378495642563004,2.3254971694066313,8.19359585009775
100,0.3,0.9798055600513887,0.7939510875618123,1.27480969065238,1.129074705523235,2.2610575104741666,4.607813319741361
100,0.3,0.9671608016790005,0.8393627437285447,1.917554514696695,1.384757926388831,2.329079802007355,8.440170005083807
-,-,-,-,-,-,-,-
100,0.15,0.9876817726808731,0.7123001142651836,1.3783270272294703,1.1740217320090247,1.63636413015378,7.48377020593766
100,0.15,0.990840092552661,0.6169186412786073,0.9247719556110953,0.9616506411431832,1.481718789109425,4.8754663974159484
500,0.35,0.9894351730110401,0.7262611633249596,1.2545624252969854,1.1200725089461778,1.620550746521499,6.021410564882061
100,0.15,0.9918932226414693,0.7318495112897435,0.9553007607604588,0.9773948847627855,1.730790324298398,3.252265345804318
100,0.1,0.9921481470557534,0.6952069602356381,0.9854963444732211,0.992721685304205,1.622695360401857,4.451325634498147
100,0.25,0.9940051564826492,0.5734653958810321,0.6991283383614282,0.8361389468033577,1.3629642183625927,3.654620206665207
100,0.15,0.9915825788138701,0.6954824764178954,1.0716536662679987,1.0352070644407325,1.5816444276243358,5.196561390795054
100,0.2,0.9839629033330577,0.7502082448094839,1.6194091887282627,1.272560092383956,1.6302937599642027,6.789595254498593
100,0.2,0.9910036833773632,0.6577172020494011,0.9476722447410507,0.9734845888564702,1.4897043039221298,4.005731424978499
100,0.25,0.9842786609504988,0.7490446062348045,1.418209068944672,1.1908858337156722,1.654451420031147,6.31804702630042
-,-,-,-,-,-,-,-
100,0.1,0.9933090631374333,0.5757663575169554,1.0333816370552589,1.0165538043090778,1.1400331964780974,7.2655757357771975
100,0.15,0.9948623925315137,0.5324444680412663,0.7389868070739849,0.8596434185602685,1.0873615896981275,4.689738728007804
100,0.1,0.9942824838256846,0.5669753221113597,0.9762120411100792,0.9880344331601401,1.0665136942187323,5.779918931903893
100,0.1,0.9954972249137676,0.6110300364367247,0.7524426625612439,0.8674345292650298,1.222183328408268,2.775942618932703
100,0.1,0.9965816322638411,0.5264464762956256,0.6003677315478643,0.774834002575948,1.0642853819874236,3.08878759663817
100,0.1,0.9972921852608602,0.4309884484157904,0.45385416773835047,0.673686995375709,0.9214659817676168,3.768011441456501
100,0.1,0.9946031654839305,0.6018361621187632,0.9841472023290114,0.9920419357713722,1.1461994665692967,5.791290352654869
100,0.1,0.9918845978065239,0.6302684316721824,1.130994452461329,1.0634822294995478,1.1695992248074736,5.597365806171808
100,0.2,0.994698612330409,0.5626434364085351,0.8118861609854356,0.9010472579090597,1.0796991131199976,3.6482610543675307
100,0.1,0.9926943447288206,0.6085252764898524,0.9183749753624834,0.9583188276155714,1.1438989921061533,3.796369857390488
-,-,-,-,-,-,-,-
100,0.1,0.9955923897024825,0.4993307050838639,0.8639729765990091,0.929501466700838,0.8904829295127102,6.82615580719208
100,0.1,0.9962376449873801,0.4609948745076559,0.7030169089552483,0.8384610360387943,0.8324005990706977,4.737034606578803
100,0.1,0.9955753628868812,0.5300002023231327,0.9827046297216974,0.9913145967460064,0.8780099131004147,6.556924639257318
100,0.1,0.9969325823270637,0.5359120003102739,0.6609259898876699,0.81297354808608,0.9618465254789755,3.7437695129682
100,0.1,0.9981662412799489,0.4369817172475777,0.4118462831827601,0.6417525092921414,0.7874771263708817,2.371220493602614
100,0.1,0.9983926647319675,0.38737758069946043,0.3506635274871689,0.5921684958583738,0.7779399932522082,3.6831280720522557
100,0.1,0.9958413631802826,0.510690253433439,0.9783802930734995,0.989131079823852,0.8681542360685947,8.30624053144949
100,0.1,0.9961697335007875,0.5181005831556851,0.6774771614525144,0.8230900081112116,0.8646603361293421,4.248006153783493
100,0.25,0.9963863099738769,0.494458886208906,0.7233299529483465,0.8504880674932168,0.8604238209388471,4.602221882615339
100,0.1,0.9961152363896066,0.5025171022600197,0.6255804372030747,0.7909364305701657,0.8386682127346147,4.076494746259641
-,-,-,-,-,-,-,-
100,0.2,0.9960430295701166,0.47118230323838806,1.0716660338193975,1.0352130378909443,0.7328420466029453,7.745603992765851
100,0.2,0.9972824965196818,0.4101916800292636,0.7179537889097498,0.8473215380891423,0.6446906944109458,6.783795096966003
100,0.1,0.9963784826772695,0.5073634843736546,1.1390558365915986,1.0672655885915177,0.7036055030024875,9.118535930903434
100,0.2,0.997909687606537,0.4757419123360571,0.6299721131286158,0.7937078260472274,0.739292528991957,4.425401505391818
100,0.1,0.9990845206741434,0.37187888906525374,0.28631486140493995,0.5350839760308095,0.5583721908738682,2.641393237529442
100,0.15,0.9988305353382912,0.356965805959627,0.36208493774411055,0.601734939773411,0.6618292813995718,3.4776721541693973
100,0.1,0.9968630729177653,0.4339572839272424,1.0289006996103647,1.0143474254960008,0.6557006026989088,10.368726068184358
