SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
CCC1CC(O1)CC,-51.38,99.71,37.28,48.59,58.71,67.14,80.01,89.32,103.55
CC(OO)C1C(O1)CCC,-70.16,110.49,45.85,57.82,68.26,76.92,90.13,99.7,114.45
CC(C)(C)CC(=O)C,-76.48,99.02,37.61,48.08,57.45,65.35,77.62,86.64,100.62
CCC1C(O1)C(OO)CC,-72.04,111.02,46.1,57.93,68.33,76.97,90.17,99.74,114.47
CCC1C(O1)CC(OO)C,-73.56,106.47,45.36,57.56,68.19,77.01,90.46,100.21,115.18
CCC1C(O1)CCC(OO),-69.33,107.08,44.27,56.64,67.58,76.69,90.59,100.61,115.9
CCC1CC(O1)CC(OO),-73.68,102.93,42.78,55.75,67.18,76.62,90.82,100.92,116.17
CCC1CC(O1)C(OO)C,-76.01,105.73,44.28,56.74,67.71,76.78,90.51,100.35,115.34
CCC1C(OO)C(O1)CC,-72.69,107.83,45.29,57.55,68.35,77.29,90.83,100.55,115.41
C(O1)C(C)(C)CC(OO)(C)C1,-101.09,102.72,49.79,64.02,76.34,86.53,102.01,113.17,130.25
C#CC1=CC=CC=C1,76.78,78.29,27.39,35.54,42.21,47.51,55.26,60.64,68.62
C(O1)C(C)(C)CC(COO)C1,-94.82,107.67,50.13,63.87,76.03,86.2,101.77,113.03,130.22
CCc1c(O)cccc1,-35.46,91.84,35.75,45.93,54.57,61.58,72.05,79.45,90.66
C(OO)C(C)(C)C(O1)C1(C)C,-79.85,108.86,52.35,65.65,77.2,86.83,101.66,112.51,129.32
COc1c(C)cccc1,-25.7,88.76,34.53,44.37,53.11,60.4,71.48,79.38,91.24
CC(C)(C)C(O1)C1(C)COO,-79.34,112.47,52.43,65.62,77.14,86.72,101.41,112.12,128.69
C1=C(O)C(C)=CC=C1C,-38.65,90.47,34.91,44.8,53.41,60.51,71.21,78.81,90.32
C(OO)C(C)(C)C(O1)C(C)C1,-79.65,107.57,49.56,63.37,75.57,85.76,101.39,112.71,130.03
C=c1ccc(=C)cc1,53.58,78.12,29.42,38.63,46.32,52.53,61.77,68.29,78.05
CC(C)(C)C(O1)C(OO)(C)C1,-81.59,106.79,52.18,66.12,78.08,87.87,102.68,113.37,129.83
C=c1ccccc1=C,59.99,79.64,29.34,38.6,46.33,52.56,61.81,68.31,78.06
C(OO)C(C)(C)C=C(C)C,-44.13,112.6,53.1,64.47,74.48,82.96,96.33,106.36,122.24
CC(C)(C)C(O1)C(COO)C1,-77.71,103.58,49.66,64.23,76.78,87.06,102.52,113.59,130.49
c1ccc2c(c1)CC2,48.36,78.93,26.71,36.32,44.58,51.28,61.14,67.98,78.02
CC(C)(C)C=C(C)COO,-43.53,120.85,51.79,63.11,73.32,81.96,95.47,105.5,121.27
C(OO)C(C)(C)CC(O1)(C)C1,-77.09,106.45,51.16,65.05,77.11,87.1,102.32,113.34,130.29
