SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
CC(O[O])CCC,-24.27,101.42,35.67,43.68,50.83,56.86,66.27,73.19,83.84
CCC(O[O])(C)C,-28.62,95.14,37.05,45.39,52.49,58.35,67.37,73.99,84.22
CCC(O[O])CC,-24.08,98.29,35.99,44.49,51.94,58.09,67.43,74.16,84.45
[O]OC(C(C)(C)C)C,-32.49,100.55,41.13,51.34,60.27,67.69,78.99,87.1,99.25
[O]OC(C(C)C)(C)C,-34.13,99.91,43.48,53.64,62.07,68.95,79.47,87.16,98.99
[O]OCC(C(C)C)C,-26.78,106.32,42.27,51.91,60.41,67.49,78.42,86.41,98.66
[O]OCCC(C)(C)C,-28.22,103.04,40.81,50.75,59.76,67.32,78.83,87.02,99.22
CCC(CO[O])(C)C,-28.33,102.79,41.72,51.78,60.76,68.29,79.72,87.82,99.74
[O]OC(C(C)C)C(C)C,-36.18,106.91,48.76,61.92,72.41,80.52,92.37,100.95,114.1
[O]OC(CC(C)C)(C)C,-39.24,107.15,49.67,61.51,71.72,80.1,92.65,101.53,114.75
[CH2]COO,12.62,78.69,20.67,23.89,26.8,29.25,33.06,35.88,40.33
[CH2]CCOO,6.32,86.32,27.84,33.02,37.2,40.53,45.57,49.29,55.18
OOC([CH2])C,3.61,86.67,27.19,31.84,35.96,39.41,44.73,48.66,54.82
C[CH]COO,4.22,89.73,25.17,29.89,34.18,37.91,43.65,47.93,54.51
[CH2]CCCOO,1.26,97.06,32.16,38.68,44.55,49.48,56.5,61.73,69.64
[CH2]C(OO)CC,-0.95,95.09,34,40.05,45.3,49.68,56.45,61.47,69.34
C[CH]CCOO,-1.2,97.11,32.7,38.76,44.19,48.78,55.92,61.18,69.31
CC[CH]COO,0.26,97.44,32.51,38.37,43.72,48.27,55.42,60.75,68.96
OOC([CH2])(C)C,-5.52,90.78,34.02,40.27,45.63,50.03,56.75,61.68,69.42
CC(OO)[CH]C,-4.45,95.83,32.34,38.21,43.54,48.08,55.21,60.52,68.81
CC(OO)C[CH2],-2.14,95.21,32.94,39.38,45.03,49.74,56.57,61.67,69.5
OOC[C](C)C,-5.24,95.19,29.07,35.58,41.45,46.43,54.17,59.85,68.52
OOCC([CH2])C,0,96.48,31.5,37.9,43.65,48.55,55.82,61.2,69.37
[CH2]C(CC)COO,-4.58,105.05,38.99,46.69,53.36,58.94,67.56,73.94,83.87
[CH2]C(OO)CCC,-5.83,103.77,40.13,47.75,54.34,59.82,68.27,74.47,84.1
[CH2]CC(OO)(C)C,-11.8,98.78,40.45,48.34,55,60.43,68.7,74.73,84.14
[CH2]CCCCOO,-3.54,106.86,38.21,45.86,52.82,58.78,67.54,74.1,84.05
C[C](CC)COO,-8.98,108.13,36.24,43.58,50.5,56.41,65.64,72.49,83.02
C[CH]CCCOO,-6.45,108.99,36.36,44,51.14,57.33,66.45,73.29,83.59
CC([CH]C)COO,-7.5,105.15,38.65,45.73,52.18,57.79,66.44,72.99,83.17
CC(C[CH2])COO,-5.41,105.88,39.27,46.57,52.97,58.46,66.98,73.39,83.4
CC[CH]CCOO,-6.31,108.68,36.24,43.81,51,57.27,66.43,73.27,83.55
CCC[CH]COO,-5.15,105.03,42.72,49.86,55.83,60.84,68.75,74.72,84.14
OOC[CH]C(C)C,-6.03,104.84,38.78,45.9,52.45,58.03,66.79,73.27,83.33
C[CH]C(OO)(C)C,-13.64,101.21,39.1,46.52,53.12,58.68,67.29,73.66,83.53
C[CH]C(OO)CC,-9.36,105.03,38.3,45.58,52.22,57.87,66.71,73.2,83.35
CC(OO)[CH]CC,-9.53,104.79,37.53,45.2,52.01,57.77,66.73,73.3,83.52
CC(OO)C[CH]C,-9.94,103.27,38.42,46.41,53.34,59.05,67.74,74.07,83.85
CC(OO)CC[CH2],-7.04,105.88,39,46.39,52.92,58.52,67.18,73.62,83.58
CCC(OO)([CH2])C,-10.12,99.65,40.5,48.68,55.49,60.96,69.07,74.95,84.05
CCC(OO)C[CH2],-7.15,103.27,40.92,48.66,54.99,60.17,68.25,74.32,83.94
OOC([C](C)C)C,-13.78,102.74,37.25,44.85,51.75,57.45,66.48,73.01,83.22
OOC(C([CH2])C)C,-8.2,101.15,39.21,47.36,54.24,59.85,68.28,74.42,83.97
OOC(C(C)C)[CH2],-7.32,100.47,40.42,48.11,54.61,59.97,68.27,74.42,83.99
OOCC([CH2])(C)C,-7.19,101.83,36.86,44.85,52.06,58.2,67.23,73.87,83.88
OOCC[C](C)C,-9.85,103.85,38.9,45.63,51.94,57.45,66.3,72.98,83.29
OOCCC([CH2])C,-4.86,103.78,38.68,46.56,53.46,59.26,67.85,74.22,83.97
[CH2]CC(COO)(C)C,-12.39,108.8,44.19,53.48,61.9,69.11,79.69,87.41,98.94
C[CH]C(COO)(C)C,-14.42,112.49,42.66,51.49,59.87,67.22,78.12,86.16,98.19
CCC(COO)([CH2])C,-11.2,112.02,43.93,53.09,61.31,68.33,78.74,86.44,98.17
OOC([C](C)C)(C)C,-21.8,106.52,43.39,52.54,60.75,67.66,78.32,86.06,97.9
OOC(C([CH2])(C)C)C,-14.26,108.52,44.02,53.43,61.68,68.66,79.08,86.76,98.44
OOC(C(C)(C)C)[CH2],-14.86,104.1,45.16,54.91,63.19,69.96,80.26,87.71,99.06
OOC(C(C)[CH2])(C)C,-17.14,105.36,45.24,55.7,64.33,71.13,81.07,88.11,98.93
OOC(C(C)C)([CH2])C,-15.87,105.2,46.39,56.41,64.65,71.19,80.9,87.86,98.76
OOC[C](C(C)C)C,-14.82,113.85,42.7,51.67,59.87,66.87,77.57,85.47,97.58
OOC[CH]C(C)(C)C,-13.81,106.44,45.13,54.23,62.3,69.29,79.88,87.52,98.95
OOCC([C](C)C)C,-15.78,114.85,40.79,49.47,57.81,65.17,76.2,84.49,97.06
OOCC(C([CH2])C)C,-10.69,110.48,45.76,55.12,63.07,69.65,79.36,86.73,98.21
OOCC(C(C)C)[CH2],-10.83,109.25,45.06,54.59,62.76,69.53,79.43,86.86,98.33
OOCCC(C)(C)[CH2],-11.55,110.96,43.2,52.77,61.28,68.47,78.95,86.66,98.33
OOC([C](C)C)C(C)C,-25.44,112.4,50.16,61.09,70.96,79.26,91.84,100.81,113.95
[O]OCC(CC(C)C)C,-33.06,112.92,48.63,60.59,70.8,79.13,91.71,100.68,114.14
[O]OC(C(C)(C)C)C(C)C,-40.45,116.14,52.08,65.62,77.47,87.23,101.93,112.41,128.07
[O]OC(CC(C)(C)C)(C)C,-44.04,111.32,53.59,67.31,79.53,89.64,104.65,114.94,129.84
[O]OCC(CC(C)(C)C)C,-39.12,116.77,53.78,67.24,79.16,89.02,103.78,114.15,129.35
[O]OCC(CC(C)C)(C)C,-38.06,116.98,53.08,66.5,78.6,88.67,103.77,114.3,129.69
OOC([CH]C(C)C)(C)C,-24.55,116.78,51.58,62.86,72.34,80.01,91.52,99.88,112.84
OOC(C([CH2])C)C(C)C,-17.76,114.83,53.42,64.26,73.2,80.54,91.72,100.05,113.03
OOC(C[C](C)C)(C)C,-27.73,113.57,50.97,61.55,70.75,78.44,90.36,99.12,112.61
OOC(CC([CH2])C)(C)C,-21.07,117.7,50.28,61.31,71.03,79.2,91.07,99.79,113.01
OOC(CC(C)C)([CH2])C,-19.87,117,53.81,63.97,72.81,80.29,91.63,99.99,112.96
OOC[C](CC(C)C)C,-21.05,120.01,49.63,60.34,69.93,77.93,90.19,99.12,112.6
OOCC([CH]C(C)C)C,-19.2,124.13,49.63,59.84,69,76.88,88.88,97.91,111.85
OOCC(C[C](C)C)C,-22.07,122.73,47.71,58.18,67.78,76.08,88.54,97.81,111.91
OOCC(CC([CH2])C)C,-16.44,118.69,51.62,63.04,72.5,80.15,91.82,100.33,113.41
OOCC(CC(C)C)[CH2],-16.25,118.54,51.18,62.66,72.38,80.27,92.17,100.68,113.64
OOC([CH]C(C)(C)C)(C)C,-29.52,118.6,57.63,70.58,81.4,90.16,103.39,112.91,127.49
OOC(C([CH2])(C)C)C(C)C,-22.17,123.52,57.7,69.62,79.94,88.67,101.98,111.86,127.09
OOC(C(C)(C)C)[C](C)C,-32.31,117.81,53.53,66.91,79,89.08,104.08,114.36,129
OOC(C(C)(C)C)C(C)[CH2],-22.64,121.83,54.47,67.26,78.62,88.2,102.15,112.38,127.68
OOC(CC([CH2])(C)C)(C)C,-26.22,117.83,59.39,72.14,82.79,91.6,104.81,114.27,128.63
OOC(CC(C)(C)C)([CH2])C,-25.6,121.17,55.68,69,80.67,90.4,104.33,114.18,128.67
OOC[C](CC(C)(C)C)C,-28.35,121.68,54.81,67.76,79.34,88.94,103.34,113.4,128.31
OOCC([CH]C(C)(C)C)C,-26.54,121.22,56.8,70.55,82.27,91.66,105.44,114.99,129.14
OOCC([CH]C(C)C)(C)C,-25.28,124.9,55.62,67.6,78.99,88.91,103.27,113.52,128.46
OOCC(C[C](C)C)(C)C,-29.4,122.47,55.76,67.96,78.83,88.12,102.63,113.1,128.61
OOCC(CC([CH2])(C)C)C,-22.33,123.58,57.54,70.59,81.64,90.68,103.65,113.21,127.8
OOCC(CC([CH2])C)(C)C,-22.34,120.98,58.41,71.41,82.44,91.49,105.19,114.97,129.56
OOCC(CC(C)(C)C)[CH2],-23.28,119.22,56.19,70.59,82.68,92.24,106.04,115.58,129.67
OOCC(CC(C)C)([CH2])C,-21.19,126.79,56.68,68.5,79.34,88.66,102.37,112.46,127.62
